3rd-Ventricle,4th-Ventricle,Accumbens-area,Amygdala,Brain-Stem,CSF,Caudate,Cerebellum-Cortex,Cerebellum-White-Matter,Cerebral-White-Matter,Hippocampus,Inf-Lat-Vent,Lateral-Ventricle,Pallidum,Putamen,Thalamus,Unknown,VentralDC,WM-hypointensities,caudalanteriorcingulate,caudalmiddlefrontal,choroid-plexus,cuneus,entorhinal,fusiform,inferiorparietal,inferiortemporal,insula,isthmuscingulate,lateraloccipital,lateralorbitofrontal,lingual,medialorbitofrontal,middletemporal,paracentral,parahippocampal,parsopercularis,parsorbitalis,parstriangularis,pericalcarine,postcentral,posteriorcingulate,precentral,precuneus,rostralanteriorcingulate,rostralmiddlefrontal,superiorfrontal,superiorparietal,superiortemporal,supramarginal,transversetemporal
0.00718,0.00731,0.00718,0.01664,0.11119,0.00803,0.04604,0.61209,0.12292,2.44252,0.04225,0.00494,0.08432,0.01931,0.06016,0.07765,93.72549,0.04283,0.02063,0.02263,0.05969,0.00994,0.05532,0.01882,0.08555,0.12769,0.11247,0.05906,0.02786,0.16855,0.10327,0.09615,0.05528,0.12991,0.04717,0.02461,0.0475,0.02826,0.0437,0.02585,0.11654,0.03305,0.14188,0.09969,0.02573,0.11126,0.26872,0.10856,0.16537,0.10851,0.01274
0.01196,0.01322,0.00588,0.01798,0.1165,0.01027,0.04254,0.65745,0.14134,2.05356,0.04281,0.01845,0.27401,0.02036,0.05093,0.07563,93.67511,0.04106,0.24773,0.02812,0.07156,0.0128,0.05575,0.01543,0.0874,0.1243,0.10682,0.06877,0.02866,0.13535,0.08682,0.07612,0.05169,0.1228,0.04625,0.02239,0.04491,0.02074,0.03808,0.02824,0.11583,0.03294,0.13443,0.09797,0.02679,0.11107,0.29637,0.12782,0.16369,0.09287,0.01047
0.00964,0.0098,0.00665,0.01556,0.1042,0.00703,0.03594,0.50857,0.0999,2.09684,0.04184,0.00714,0.11538,0.01691,0.04829,0.06455,94.46859,0.03715,0.01211,0.02862,0.04538,0.0124,0.04255,0.01503,0.06643,0.12234,0.12066,0.06474,0.02427,0.11897,0.09205,0.06615,0.04995,0.13038,0.04599,0.0188,0.04367,0.02337,0.04674,0.01966,0.10655,0.03713,0.1182,0.09968,0.02777,0.10516,0.25808,0.10797,0.14346,0.082,0.00978
0.00765,0.0124,0.00693,0.01561,0.10699,0.00747,0.0414,0.57383,0.1225,2.31063,0.04171,0.00436,0.12382,0.01927,0.05643,0.07447,93.92868,0.0374,0.01439,0.02897,0.06372,0.00885,0.04718,0.01917,0.09164,0.14259,0.12348,0.07168,0.02427,0.11763,0.09649,0.07278,0.05129,0.14172,0.05258,0.0229,0.04168,0.01928,0.03808,0.02242,0.11761,0.03658,0.14007,0.09427,0.03286,0.10145,0.25567,0.10867,0.16907,0.12722,0.01221
0.01213,0.00734,0.005,0.01144,0.09819,0.01299,0.04493,0.49862,0.11154,1.75277,0.02621,0.03174,0.42304,0.01571,0.03492,0.06048,94.84137,0.0335,0.06852,0.01683,0.04324,0.01234,0.04252,0.01106,0.06194,0.1134,0.09183,0.04662,0.02397,0.11252,0.06934,0.06562,0.04051,0.09668,0.03594,0.0175,0.03623,0.01761,0.02362,0.03302,0.09688,0.02304,0.11221,0.08296,0.01863,0.07969,0.1928,0.08377,0.12077,0.07836,0.00811
0.01602,0.01078,0.00753,0.02044,0.12895,0.00912,0.05503,0.65391,0.14958,2.72425,0.0522,0.01674,0.40825,0.02682,0.07462,0.0855,92.87716,0.0521,0.05336,0.03189,0.06436,0.01417,0.04367,0.01929,0.06709,0.11543,0.11722,0.07781,0.02949,0.12177,0.11017,0.0703,0.05955,0.12065,0.04962,0.02101,0.047,0.02652,0.03417,0.02104,0.12957,0.03536,0.16652,0.09243,0.03999,0.14177,0.33315,0.08741,0.17948,0.09875,0.01095
0.00682,0.00911,0.00865,0.01977,0.11746,0.00736,0.04351,0.65607,0.14651,2.72992,0.04907,0.0038,0.11362,0.02232,0.05644,0.08925,93.24756,0.04498,0.01214,0.02533,0.06729,0.00745,0.04505,0.0184,0.0739,0.11753,0.13319,0.06598,0.02663,0.13962,0.09434,0.08448,0.05352,0.14556,0.04508,0.02298,0.04628,0.02713,0.04607,0.03295,0.12851,0.04227,0.14703,0.09919,0.02737,0.13478,0.31498,0.11739,0.16156,0.1119,0.01189
0.01283,0.01507,0.00589,0.01447,0.10054,0.01181,0.04588,0.51778,0.09651,2.06289,0.03418,0.01454,0.35526,0.01997,0.05293,0.07369,94.0356,0.03746,0.05507,0.02605,0.05551,0.01153,0.05171,0.01868,0.08766,0.13165,0.13012,0.06701,0.02375,0.12511,0.0887,0.06855,0.04877,0.12704,0.05189,0.0187,0.04315,0.02078,0.04241,0.01864,0.12625,0.03361,0.13971,0.09856,0.03113,0.09368,0.25115,0.11243,0.18074,0.10245,0.0105
0.0106,0.01716,0.00668,0.01904,0.13668,0.00741,0.04489,0.6291,0.17409,2.74183,0.04692,0.0093,0.34641,0.02418,0.05972,0.08417,92.76175,0.04736,0.03873,0.03285,0.06912,0.01102,0.04709,0.01906,0.09057,0.14824,0.13472,0.0698,0.02918,0.14653,0.09915,0.08461,0.05845,0.16414,0.05058,0.02563,0.04929,0.02893,0.05224,0.02191,0.1199,0.04106,0.16329,0.11088,0.0386,0.14276,0.30696,0.12367,0.19675,0.10442,0.01258
0.01261,0.01308,0.00566,0.01235,0.11918,0.01069,0.0337,0.65236,0.152,1.90623,0.03518,0.01418,0.21378,0.01665,0.04031,0.06766,94.49039,0.03724,0.02,0.02028,0.05019,0.01096,0.04287,0.00936,0.06481,0.1344,0.11026,0.06222,0.02739,0.11661,0.08113,0.06021,0.0473,0.11156,0.03675,0.01665,0.03461,0.01844,0.03407,0.02213,0.10298,0.03269,0.11387,0.09428,0.02018,0.09509,0.22588,0.09877,0.14822,0.0938,0.0088
0.01343,0.01308,0.00691,0.02131,0.13812,0.00841,0.0432,0.70948,0.15854,2.57521,0.05168,0.00714,0.26649,0.02425,0.0627,0.08596,92.90461,0.05087,0.01616,0.03434,0.07122,0.01324,0.0499,0.01878,0.09761,0.1628,0.1509,0.0722,0.03262,0.15842,0.09522,0.08607,0.05543,0.15429,0.05452,0.02604,0.04552,0.02328,0.03982,0.03021,0.1398,0.04077,0.14752,0.11631,0.03996,0.12657,0.31397,0.12619,0.18917,0.11836,0.01141
0.01264,0.0143,0.0061,0.01724,0.12263,0.00777,0.05102,0.61136,0.14102,2.47435,0.04548,0.0135,0.42725,0.02188,0.04596,0.06969,93.27073,0.04186,0.04796,0.02704,0.06846,0.01429,0.05128,0.01569,0.0864,0.14727,0.11837,0.06403,0.03567,0.14141,0.09214,0.08491,0.04772,0.14941,0.04877,0.02097,0.04353,0.02206,0.03955,0.03359,0.12364,0.03119,0.13808,0.10039,0.02909,0.12831,0.25711,0.11059,0.17025,0.10404,0.01202
0.01315,0.01469,0.00753,0.01245,0.1063,0.01013,0.05041,0.52706,0.11131,2.095,0.03855,0.0145,0.20376,0.01985,0.05664,0.06517,94.05138,0.03811,0.08519,0.02585,0.07867,0.01085,0.0429,0.01215,0.077,0.13383,0.0932,0.06363,0.02403,0.11518,0.09349,0.07437,0.05541,0.12985,0.04802,0.0174,0.04451,0.02689,0.04864,0.02888,0.11366,0.03713,0.13922,0.09873,0.03299,0.12536,0.27902,0.10954,0.18166,0.10464,0.01211
0.01068,0.01466,0.00685,0.01944,0.09959,0.00883,0.03895,0.53226,0.11286,2.24831,0.03765,0.00672,0.2863,0.01984,0.05136,0.07586,93.93345,0.04044,0.0153,0.02714,0.06757,0.01025,0.03961,0.0161,0.08092,0.14724,0.11808,0.05959,0.02552,0.13485,0.09477,0.0778,0.05419,0.14257,0.04216,0.02084,0.04141,0.02635,0.03753,0.02291,0.11078,0.02872,0.14216,0.09035,0.03573,0.10183,0.26653,0.10299,0.16426,0.10214,0.00776
0.0183,0.01593,0.00794,0.02498,0.12328,0.01052,0.0526,0.67091,0.11192,2.87189,0.05315,0.02115,0.3613,0.02151,0.05709,0.0918,92.59329,0.05215,0.04223,0.0306,0.09166,0.0143,0.05296,0.01708,0.08024,0.15604,0.13323,0.07302,0.03124,0.13722,0.10527,0.08605,0.06295,0.16379,0.04762,0.02251,0.05038,0.02412,0.04994,0.02887,0.1387,0.03851,0.14522,0.11389,0.03944,0.13335,0.28886,0.12681,0.18845,0.11035,0.01535
0.00676,0.01184,0.00851,0.01897,0.11545,0.00787,0.04479,0.63503,0.13717,2.79549,0.04682,0.00437,0.11252,0.022,0.05773,0.07772,93.02771,0.0437,0.02072,0.03529,0.07523,0.0108,0.04455,0.01855,0.09409,0.15255,0.1546,0.07291,0.03185,0.15429,0.10104,0.07441,0.05434,0.16375,0.05037,0.02385,0.05358,0.0266,0.04526,0.02055,0.12339,0.03667,0.15321,0.10741,0.03864,0.14219,0.2871,0.12033,0.20156,0.1231,0.01279
0.00905,0.01181,0.00784,0.02081,0.10684,0.00718,0.05776,0.55758,0.12907,2.44873,0.05331,0.00975,0.23462,0.02143,0.05906,0.08191,93.51384,0.04234,0.02876,0.02691,0.07594,0.01236,0.04213,0.01716,0.08861,0.16363,0.12777,0.06955,0.02575,0.12794,0.09368,0.0693,0.05537,0.16043,0.04981,0.02441,0.05016,0.02447,0.04203,0.01885,0.11154,0.03754,0.14715,0.11158,0.02953,0.10716,0.25467,0.11934,0.19304,0.10743,0.01307
0.01802,0.01252,0.00519,0.01632,0.11853,0.01279,0.04579,0.53625,0.11831,2.34092,0.03848,0.02522,0.3449,0.02033,0.05102,0.07638,93.60859,0.04111,0.02336,0.02482,0.07153,0.01128,0.04494,0.01954,0.08759,0.13583,0.1112,0.07259,0.02688,0.1201,0.0985,0.07566,0.05648,0.1292,0.04873,0.02267,0.05139,0.02106,0.04271,0.02034,0.13384,0.0342,0.14381,0.10529,0.03822,0.12266,0.2717,0.10904,0.17943,0.10319,0.01155
0.00968,0.00887,0.00744,0.01561,0.12549,0.00725,0.04515,0.57583,0.14523,2.54108,0.0416,0.00605,0.10664,0.02487,0.05967,0.08377,93.63438,0.04559,0.03632,0.03043,0.07247,0.01013,0.04653,0.01395,0.0761,0.13708,0.11406,0.06232,0.0271,0.12165,0.09391,0.07239,0.04911,0.14136,0.04899,0.01653,0.05028,0.02286,0.03628,0.02618,0.12079,0.03596,0.15779,0.10563,0.03136,0.11402,0.25228,0.1218,0.15888,0.10012,0.01113
0.01768,0.01137,0.0084,0.01969,0.10424,0.0082,0.05628,0.60162,0.10918,2.2551,0.04594,0.01044,0.26382,0.0212,0.06296,0.06427,93.82041,0.04358,0.06514,0.02457,0.05377,0.01059,0.03507,0.01826,0.08231,0.09957,0.11024,0.07227,0.02905,0.12348,0.09407,0.06014,0.06046,0.13531,0.05289,0.01697,0.04047,0.02183,0.04407,0.01261,0.12161,0.03901,0.13906,0.10495,0.02728,0.11649,0.27958,0.10501,0.17647,0.09097,0.01205
0.01091,0.01271,0.007,0.02046,0.12594,0.00933,0.03978,0.6271,0.14731,2.64856,0.05113,0.00644,0.19811,0.02287,0.05625,0.08101,93.24291,0.04558,0.01604,0.02707,0.0589,0.01131,0.06078,0.02052,0.0797,0.14172,0.13606,0.0721,0.03303,0.15386,0.0882,0.08968,0.05161,0.16019,0.04236,0.024,0.04556,0.02103,0.04535,0.03179,0.11698,0.03833,0.13903,0.12191,0.02897,0.10496,0.27822,0.124,0.15826,0.11348,0.01161
0.01406,0.01516,0.00653,0.02031,0.12405,0.00685,0.05296,0.67602,0.11781,2.67286,0.05212,0.02192,0.36764,0.02562,0.05678,0.08575,92.70558,0.04834,0.0461,0.03158,0.07756,0.01217,0.05399,0.01824,0.0909,0.16509,0.14564,0.08227,0.03048,0.14956,0.10647,0.0968,0.06084,0.1633,0.05591,0.02141,0.04165,0.02402,0.05301,0.02996,0.12671,0.04199,0.16568,0.11132,0.03622,0.15393,0.31242,0.12045,0.18073,0.11366,0.00957
